Country,Year,GDP,Population,OBM,OBF,GDPPerCapita
Afghanistan,2004,5285465686,23553554,1.5,4.2,224.4020451
Afghanistan,2008,10190529882,26427204,2,5.2,385.6075687
Afghanistan,2012,20536542737,30466484,2.5,6.3,674.0699956
Afghanistan,2016,19469022208,34636212,3.2,7.6,562.1002149
Albania,1992,709452583.9,3303738,8.5,12.2,214.7423869
Albania,1996,3314898292,3271336,10,13.4,1013.316361
Albania,2000,3632043908,3182027,11.7,14.7,1141.424604
Albania,2004,7314865176,3062629,13.7,16.2,2388.426798
Albania,2008,12881352688,2951690,16.1,18,4364.060145
Albania,2012,12319784787,2892191,18.8,19.9,4259.671919
Albania,2016,11863865978,2881064,21.6,21.8,4117.876582
Algeria,1992,48003298223,26748302,7,19.3,1794.629738
Algeria,1996,46941496780,28984640,8.6,21.7,1619.530095
Algeria,2000,54790245601,30774624,10.3,24.2,1780.370919
Algeria,2004,85324998814,32510184,12.3,26.8,2624.562162
Algeria,2008,1.71E+11,34569592,14.6,29.5,4946.572699
Algeria,2012,2.09E+11,37260568,17.1,32.2,5610.730357
Algeria,2016,1.59E+11,40339328,19.9,34.9,3942.777629
American Samoa,2004,512000000,57653,31.3,48.1,8880.717395
American Samoa,2008,563000000,55909,34.1,50.5,10069.93507
American Samoa,2012,644000000,53718,37,52.8,11988.53271
American Samoa,2016,658000000,50468,39.9,55,13037.96465
Andorra,1992,1210013652,57305,17.7,22.5,21115.32418
Andorra,1996,1223945357,64166,19.1,23.1,19074.67127
Andorra,2000,1434429703,66116,20.6,23.8,21695.65163
Andorra,2004,2935659300,76950,22,24.3,38150.21832
Andorra,2008,4007353157,76073,23.3,24.6,52677.73266
Andorra,2012,3164615187,71035,24.5,25,44550.08358
Andorra,2016,2858517699,72563,25.9,25.3,39393.59865
Angola,1992,5684291719,12632509,0.8,3.6,449.9732966
Angola,1996,7526446606,14383352,1.1,4.5,523.2748671
Angola,2000,9129594819,16394067,1.4,5.6,556.8840739
Angola,2004,19640848729,18771128,1.9,6.9,1046.332896
Angola,2008,84178032716,21691524,2.4,8.4,3880.687808
Angola,2012,1.15E+11,25188298,3.1,10.2,4581.413163
Angola,2016,95335111741,29154742,4,12.1,3269.969315
Antigua and Barbuda,1992,499281148.1,64676,5,14.9,7719.728309
Antigua and Barbuda,1996,633730629.6,69817,5.9,16.5,9077.024644
Antigua and Barbuda,2000,830158768.9,75070,6.8,18.2,11058.46235
Antigua and Barbuda,2004,919577142.6,78955,7.8,19.9,11646.85128
Antigua and Barbuda,2008,1368431037,83267,8.9,21.7,16434.25411
Antigua and Barbuda,2012,1211411704,87688,10.1,23.7,13815.02263
Antigua and Barbuda,2016,1460144704,90575,11.6,25.9,16120.83582
Argentina,1992,2.29E+11,33568280,15.5,19.1,6815.630709
Argentina,1996,2.72E+11,35389360,17.3,20.6,7690.164501
Argentina,2000,2.84E+11,37070772,19.1,22.1,7666.524992
Argentina,2004,1.65E+11,38668796,21,23.7,4258.162059
Argentina,2008,3.62E+11,40273768,23,25.4,8977.506152
Argentina,2012,5.46E+11,41952364,25.1,27.2,13014.33216
Argentina,2016,5.45E+11,43668236,27.3,29,12491.36787
Armenia,1992,1272577456,3574558,8.8,14.6,356.0097377
Armenia,1996,1596968913,3298903,9.8,15.7,484.0908972
Armenia,2000,1911563665,3168525,10.9,16.8,603.2976432
Armenia,2004,3576615240,3065748,12.1,18,1166.637062
Armenia,2008,11662040714,2983425,13.6,19.5,3908.943819
Armenia,2012,10619320049,2914428,15.2,21.2,3643.706432
Armenia,2016,10572298342,2865841,17.1,23,3689.073589
Australia,1992,3.26E+11,17462500,15.6,16.7,18650.99499
Australia,1996,4.02E+11,18211850,17.7,18.5,22063.60145
Australia,2000,4.15E+11,19017968,19.9,20.5,21844.92055
Australia,2004,6.13E+11,19925060,22.3,22.5,30781.83955
Australia,2008,1.06E+12,21247876,24.6,24.5,49667.55265
Australia,2012,1.54E+12,22729272,27,26.4,67674.40682
Australia,2016,1.20E+12,24195706,29.6,28.4,49786.51997
